id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1733716090 ,5dd999a1-aa37-3f10-a036-0063f92e45d1,  -15.261720 ,  -41.591360 ,2024-11-21 17:34:00,Brasil,BAHIA,TREMEDAL,Mata Atlântica
 1733716310 ,e76d55f6-2344-3641-b899-6609fe35e36a,  -15.257380 ,  -41.600250 ,2024-11-21 17:34:00,Brasil,BAHIA,TREMEDAL,Mata Atlântica
 1733716485 ,c66a1473-9b73-3ba1-a0e3-2a309225f724,  -13.542670 ,  -42.971620 ,2024-11-21 17:34:00,Brasil,BAHIA,RIACHO DE SANTANA,Caatinga
 1733716595 ,da1c2e33-f175-3a24-b559-2a47b6655f96,  -15.263870 ,  -41.604680 ,2024-11-21 17:34:00,Brasil,BAHIA,TREMEDAL,Mata Atlântica
 1733826999 ,406ed880-c319-3f21-80b2-83afd374c7b4,  -12.170340 ,  -38.374970 ,2024-11-22 16:37:00,Brasil,BAHIA,ALAGOINHAS,Mata Atlântica
 1733827059 ,de011d00-9884-3aab-b064-b4a3970a8ce5,   -9.784350 ,  -38.187360 ,2024-11-22 16:37:00,Brasil,BAHIA,SANTA BRÍGIDA,Caatinga
 1733827064 ,94b8ce13-99e8-3809-8417-02fb75b50bca,   -9.781940 ,  -38.168660 ,2024-11-22 16:37:00,Brasil,BAHIA,SANTA BRÍGIDA,Caatinga
 1733827073 ,2f76fb7c-f1f1-3434-b1b9-375cdca92a19,  -12.471940 ,  -40.413200 ,2024-11-22 16:37:00,Brasil,BAHIA,ITABERABA,Caatinga
 1733827077 ,e647d93d-e5e6-3b8b-ab72-792c70a890dd,  -12.924390 ,  -40.018470 ,2024-11-22 16:37:00,Brasil,BAHIA,IAÇU,Caatinga
 1733827139 ,9c13097d-62c6-3294-99e6-4d519e8cceae,  -11.560790 ,  -37.872850 ,2024-11-22 16:37:00,Brasil,BAHIA,RIO REAL,Caatinga
 1733827176 ,76dcd561-d144-3de2-ac6c-979271e9dee8,  -12.171900 ,  -38.381600 ,2024-11-22 16:37:00,Brasil,BAHIA,ALAGOINHAS,Mata Atlântica
 1733827282 ,14655b11-2fd7-33ab-9d36-ae43fb519c49,  -12.172880 ,  -38.395880 ,2024-11-22 16:37:00,Brasil,BAHIA,ALAGOINHAS,Mata Atlântica
 1733971957 ,0da91304-306e-3d55-81dd-5bd3af7dce98,  -12.380270 ,  -37.894270 ,2024-11-23 17:17:00,Brasil,BAHIA,ENTRE RIOS,Mata Atlântica
 1733972100 ,7f0a3d88-ab9b-3606-862e-7572102462e4,  -10.809670 ,  -39.337770 ,2024-11-23 17:17:00,Brasil,BAHIA,CANSANÇÃO,Caatinga
 1733972256 ,4bd30842-a180-3224-8d88-7a242b8477dc,  -11.483960 ,  -40.937710 ,2024-11-23 17:17:00,Brasil,BAHIA,MORRO DO CHAPÉU,Caatinga
 1733972588 ,5464bc47-9877-31f1-ba6e-57dc38daddc2,  -11.299550 ,  -38.263850 ,2024-11-23 17:17:00,Brasil,BAHIA,ITAPICURU,Caatinga
 1733972708 ,f7664d21-32e3-3894-8aad-9cc661de3825,  -10.800090 ,  -39.339350 ,2024-11-23 17:17:00,Brasil,BAHIA,CANSANÇÃO,Caatinga
 1733972739 ,dc6b03a3-f104-3e36-9868-dbcb17ba2d49,  -10.449860 ,  -39.370020 ,2024-11-23 17:17:00,Brasil,BAHIA,MONTE SANTO,Caatinga
 1733972836 ,17cc3889-d451-3563-95d4-ace265e398d7,   -8.711980 ,  -41.359430 ,2024-11-23 17:17:00,Brasil,BAHIA,CASA NOVA,Caatinga
 1734355732 ,130f8e5a-094d-38fa-8a21-e7854e5b2a00,  -13.856020 ,  -45.916860 ,2024-11-26 17:36:00,Brasil,BAHIA,CORRENTINA,Cerrado
 1734769654 ,9fcdad20-99b7-3845-98e8-f7f492700e0f,  -10.205260 ,  -42.476490 ,2024-11-29 18:00:00,Brasil,BAHIA,PILÃO ARCADO,Caatinga
 1734769835 ,c69cac54-e6a2-34b0-bfe5-5e3607b08b55,  -10.188530 ,  -42.479620 ,2024-11-29 18:00:00,Brasil,BAHIA,PILÃO ARCADO,Caatinga
 1734900955 ,89e00399-8f8d-3177-9ae5-39c3b0523df6,  -10.805850 ,  -39.395040 ,2024-11-30 17:00:00,Brasil,BAHIA,NORDESTINA,Caatinga
 1734900995 ,295379af-9919-3b71-8b57-8cb92911b9b3,  -11.483380 ,  -40.046320 ,2024-11-30 17:00:00,Brasil,BAHIA,SÃO JOSÉ DO JACUÍPE,Caatinga
 1734901008 ,b3ffc6e6-a04f-3896-9f32-7c4976c950b9,   -9.637240 ,  -42.645110 ,2024-11-30 17:02:00,Brasil,BAHIA,REMANSO,Caatinga
 1734901024 ,d46bb318-9db2-3555-906d-5b28f678cca0,  -10.898350 ,  -44.309980 ,2024-11-30 17:00:00,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado
 1734901043 ,988678f2-1838-3bf1-af2b-4bedc7a65534,  -15.068560 ,  -42.345150 ,2024-11-30 16:58:00,Brasil,BAHIA,MORTUGABA,Caatinga
 1734901070 ,f7a50ded-113f-3787-be67-dd5d97f706ce,  -17.313030 ,  -39.355700 ,2024-11-30 16:58:00,Brasil,BAHIA,PRADO,Mata Atlântica
 1734901110 ,e9503ab7-2dd8-323a-85ff-086e2b189413,  -13.033170 ,  -40.332290 ,2024-11-30 17:00:00,Brasil,BAHIA,IAÇU,Caatinga
 1734901113 ,5a68ed5a-cab0-372d-a2de-5a0e9a712b06,  -15.601480 ,  -41.007340 ,2024-11-30 16:58:00,Brasil,BAHIA,ENCRUZILHADA,Mata Atlântica
 1734901155 ,8ae47e4f-f2b1-3d89-8f8d-37f8f49c7bc7,  -15.060710 ,  -42.333280 ,2024-11-30 16:58:00,Brasil,BAHIA,MORTUGABA,Caatinga
 1734901175 ,2b981e02-efbe-3b86-aca9-fe57fdd5a445,  -13.200320 ,  -39.890900 ,2024-11-30 17:00:00,Brasil,BAHIA,SANTA INÊS,Mata Atlântica
 1734901188 ,6ef20e5d-b5b0-3682-a259-ceca7f8bf396,  -11.767640 ,  -43.648500 ,2024-11-30 17:00:00,Brasil,BAHIA,BARRA,Cerrado
